,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
0,"AP Dhillon, Gurinder Gill, Intense",01 Excuses.wav,"[[0.00000000e+00 0.00000000e+00 5.01896635e-10 ... 8.26598629e-02
  6.02699779e-02 1.19554766e-01]
 [0.00000000e+00 0.00000000e+00 2.68778499e-10 ... 3.85683179e-01
  1.20012283e+00 3.50072175e-01]
 [0.00000000e+00 0.00000000e+00 5.03052530e-11 ... 1.96589260e+01
  9.09895706e+00 3.98158491e-01]
 ...
 [0.00000000e+00 0.00000000e+00 7.27827590e-11 ... 3.42289153e-09
  2.53865395e-09 1.22362593e-07]
 [0.00000000e+00 0.00000000e+00 1.04334111e-10 ... 2.64576694e-09
  3.30943961e-09 1.21883559e-07]
 [0.00000000e+00 0.00000000e+00 9.35740235e-11 ... 3.07531089e-09
  4.02272882e-09 1.23306791e-07]]",0.088944614,0.0047141947,2432.8279984824994,283071.79908979224,0.09995037884280743,0.09995037884280743,10.0,95.703125
1,"AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr",01 Insane.wav,"[[0.00000000e+00 2.39820774e-10 4.99612689e-02 ... 4.90173930e-04
  2.82743189e-04 1.06701404e-01]
 [0.00000000e+00 6.26153712e-11 2.66254172e-02 ... 1.73049641e-03
  2.31479686e-02 1.25179052e-01]
 [0.00000000e+00 2.10434517e-11 4.72706091e-03 ... 2.69109420e-02
  1.24066502e-01 1.49185807e-01]
 ...
 [0.00000000e+00 5.36024870e-11 1.14104981e-09 ... 2.89675350e-09
  2.33493913e-09 7.88448986e-08]
 [0.00000000e+00 4.11016707e-11 1.26018340e-09 ... 3.35550387e-09
  2.44182963e-09 7.81757166e-08]
 [0.00000000e+00 3.15198041e-11 1.16216425e-09 ... 3.39378947e-09
  2.10674367e-09 8.29934663e-08]]",0.08381761,0.0029655215,1184.2215976478676,372834.44254718727,0.01941682678364269,0.01941682678364269,10.0,117.45383522727273
2,Aditya A,01 Chaand Baaliyan.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.63594662e-02
  5.12920469e-02 2.98238099e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.67219986e-02
  2.37604734e-02 4.33496505e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.01956226e-01
  9.69765112e-02 6.22346103e-01]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.67717390e-09
  3.41510553e-09 1.40159909e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.69940048e-09
  2.57351229e-09 1.34531513e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.74125664e-09
  4.26297975e-09 1.30235435e-06]]",0.06818464,0.0019417495,1575.059792907371,1786096.7009273234,0.027464970635150812,0.027464970635150812,10.0,123.046875
3,Alec Benjamin,04 Let Me Down Slowly.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2163759e-03
  1.7819280e-03 2.8778969e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9224637e-01
  1.7749394e-01 4.4962447e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.1341829e+00
  1.2101191e+00 3.5510451e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3115184e-09
  3.2179035e-09 6.0278076e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.3032125e-09
  2.7487390e-09 6.0776859e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.0018917e-09
  3.2576848e-09 5.6310627e-09]]",0.04698437,0.0017775145,1038.3546271016692,100200.6069128892,0.017942919808584687,0.017942919808584687,10.0,139.6748310810811
4,Ali Zafar,11 Jhoom - R_B Mix.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.23911901e-04
  5.22168339e-05 1.13090146e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.36489669e-04
  4.37661307e-04 1.33665195e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.14158921e-04
  4.90991399e-04 2.32971907e-02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.66746292e-09
  3.51429530e-09 6.54042154e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.84409055e-09
  3.09921910e-09 4.45637172e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.25506000e-09
  2.82698687e-09 4.18847046e-09]]",0.042285804,0.0005313659,1253.4570482355482,1737369.3211770717,0.02348281612529002,0.02348281612529002,10.0,87.5926906779661
5,"Alka Yagnik, Arijit Singh",14 Agar Tum Saath Ho (From _Tamasha_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.7050775e-03
  3.3389501e-02 5.5661049e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.0190157e-02
  4.6235517e-01 2.1544006e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.9534459e-01
  8.4726524e-01 2.4578269e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9114395e-09
  4.2656985e-09 2.1848967e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2758198e-09
  3.8583359e-09 1.9866704e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0242024e-09
  3.1156107e-09 2.2465128e-08]]",0.09998585,0.0011052476,1018.8785590752548,1737802.7164627628,0.03311475855568446,0.03311475855568446,10.0,123.046875
6,Anirudh Ravichander,02 Vikram - Title Track.wav,"[[7.3627959e-10 2.5665043e-09 1.0534506e-08 ... 1.1411248e+03
  4.7401172e+02 2.7197549e+02]
 [5.3284110e-10 1.2514829e-09 8.6796508e-09 ... 5.3246997e+02
  1.3717815e+02 7.2561424e+01]
 [6.5510444e-11 2.0138047e-09 3.9150860e-09 ... 2.1055994e+01
  2.5171003e+00 3.1847622e+00]
 ...
 [4.3011994e-10 1.4359803e-09 2.2054185e-09 ... 6.5040244e-09
  2.5914753e-09 1.9735278e-07]
 [3.0132433e-10 1.9261339e-09 2.7764602e-09 ... 2.5005285e-09
  3.6287062e-09 2.0101294e-07]
 [4.4032938e-10 1.7487568e-09 2.8673313e-09 ... 2.4324749e-09
  2.0986366e-09 1.9592969e-07]]",0.24325459,0.017338518,1887.625915370103,9773875.47617628,0.051477985426334104,0.051477985426334104,10.0,126.04801829268293
7,Anirudh Ravichander,05 Once Upon a Time.wav,"[[9.8000064e-10 6.1458501e-09 8.7356122e-10 ... 3.0927225e+01
  5.4311432e+01 2.6855488e+01]
 [6.1798233e-10 1.2863959e-09 1.2260971e-09 ... 1.0041879e+03
  3.5600258e+01 3.7144245e+01]
 [2.9324456e-11 6.3382621e-10 1.9391244e-09 ... 1.3464247e+03
  1.9199016e+02 7.6540009e+01]
 ...
 [5.5128591e-10 1.8780730e-09 3.7193364e-09 ... 5.1536810e-09
  2.2402353e-09 4.0375511e-08]
 [3.3954664e-10 1.3215745e-09 3.4350292e-09 ... 5.9598384e-09
  3.3050804e-09 4.1972587e-08]
 [2.9243793e-10 2.4000544e-09 1.9062494e-09 ... 4.3942019e-09
  3.9482662e-09 3.9903668e-08]]",0.20307462,0.016396085,1511.9137928149712,5284961.839451966,0.03909648709396752,0.03909648709396752,10.0,123.046875
8,"Anirudh Ravichander, Anthony Daasan",01 Dippam Dappam (From _Kaathuvaakula Rendu Kaadhal_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.3535623e-03
  4.9687337e-02 1.1465657e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1490522e-02
  3.8555332e-02 4.6559635e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5011869e-02
  7.3238671e-02 3.3809319e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4565490e-09
  2.2107094e-09 8.2145945e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2610156e-09
  2.1283169e-09 7.4772394e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7843106e-09
  2.5062126e-09 6.9688618e-08]]",0.027290769,0.00034356836,1901.9596789895975,1186747.9898123224,0.03190481801044084,0.03190481801044084,10.0,126.04801829268293
9,"Anirudh Ravichander, Jonita Gandhi",01 Arabic Kuthu - Halamithi Habibo (From _Beast_).wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.56147301e-02
  5.58716506e-02 4.98499870e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.80984420e-01
  2.80367225e-01 6.47351503e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.95180774e-01
  2.71703124e-01 2.54914552e-01]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.54027985e-09
  2.99556646e-09 1.16956542e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.28360841e-09
  3.35664119e-09 1.11409427e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.88543003e-09
  2.89616198e-09 1.04313685e-07]]",0.1430703,0.003590628,2095.675608693749,1326894.4386586691,0.027059391313805106,0.027059391313805106,10.0,120.18531976744185
10,"Anirudh Ravichander, Jonita Gandhi",01 Private Party (From _Don_).wav,"[[6.6652006e-10 3.7545215e-07 3.9464467e-05 ... 2.7795103e-01
  9.5629591e-01 4.4901076e-01]
 [4.5997967e-10 4.5438452e-07 4.2881013e-05 ... 5.2793133e-01
  1.1946670e+00 1.6791229e-01]
 [5.8573153e-11 1.5734298e-07 1.4757008e-05 ... 2.0663273e-01
  1.3067597e-01 4.2454224e-02]
 ...
 [2.0707210e-10 5.3374921e-10 2.1087141e-09 ... 2.9880638e-09
  2.8772187e-09 6.6364096e-09]
 [1.7569726e-10 6.8655631e-10 1.8922952e-09 ... 2.3618802e-09
  3.3455956e-09 6.5820718e-09]
 [2.3851035e-10 5.4612015e-10 2.8664875e-09 ... 2.0970672e-09
  2.6953175e-09 5.5589457e-09]]",0.059352335,0.0014031617,3247.727439127806,2676613.737209434,0.06303586318155452,0.06303586318155452,10.0,123.046875
11,"Anirudh Ravichander, Kamal Haasan",01 Pathala Pathala (From _Vikram_).wav,"[[6.0896355e-10 2.6646556e-09 2.6837916e-09 ... 1.6065087e+00
  2.4246337e+00 2.0043387e+00]
 [4.3366732e-10 2.5730156e-11 1.6542182e-10 ... 1.3422556e+00
  1.0297877e+00 1.2144228e+00]
 [5.0293401e-11 1.3885056e-11 5.6735682e-11 ... 1.2158399e+00
  1.1334567e+00 1.0299504e+00]
 ...
 [1.6990900e-10 2.8990507e-10 9.2739660e-10 ... 3.5771544e-09
  2.5443463e-09 8.3254208e-06]
 [1.3879890e-10 3.1813863e-10 1.2435116e-09 ... 3.4316545e-09
  1.9877837e-09 8.2337174e-06]
 [1.7521938e-10 3.8501913e-10 1.2107696e-09 ... 3.9013313e-09
  2.5026976e-09 8.2148972e-06]]",0.085172065,0.008738314,3413.2983861110356,3079971.286756495,0.08289565508990719,0.08289565508990719,10.0,132.51201923076923
12,"Anirudh Ravichander, Rokesh",01 Jalabulajangu (From _Don_).wav,"[[4.1436571e-10 2.0578950e-09 2.5817775e-09 ... 1.6374548e+02
  1.5065167e+02 2.2261838e+02]
 [2.6591473e-10 1.7712831e-11 4.7956188e-11 ... 2.2396533e+03
  2.1982986e+03 2.3700535e+03]
 [3.5551825e-11 1.6495666e-11 2.4847862e-11 ... 1.4684696e+03
  1.1727935e+03 1.1763453e+03]
 ...
 [1.3966037e-10 4.1293469e-10 8.5347596e-10 ... 2.5980607e-09
  3.0994516e-09 7.4796691e-07]
 [1.4492160e-10 4.4347689e-10 8.1002938e-10 ... 4.3907193e-09
  6.1340981e-09 7.2201777e-07]
 [2.0077615e-10 5.1011634e-10 8.1182788e-10 ... 3.3702225e-09
  3.0154854e-09 7.0141220e-07]]",0.14310783,0.013286062,2209.9319354853515,3773634.6385700493,0.05027370939675174,0.05027370939675174,10.0,151.99908088235293
13,BTS,01 Run BTS.wav,"[[4.63303115e-13 8.96589331e-11 5.82556725e-10 ... 2.55303783e-03
  1.41253201e-02 4.21201997e-02]
 [1.59893398e-12 6.18175372e-11 3.01428119e-11 ... 1.28193172e-02
  1.09090388e-01 2.93942410e-02]
 [7.24926304e-13 1.62934631e-11 1.04391894e-11 ... 1.61996603e-01
  4.35370773e-01 6.91351369e-02]
 ...
 [1.09190706e-12 2.73889071e-11 1.84960061e-10 ... 3.14828852e-09
  3.16821680e-09 5.02400098e-06]
 [1.09295418e-12 2.33765941e-11 2.08395134e-10 ... 2.71853740e-09
  2.43771758e-09 4.75893739e-06]
 [1.09234616e-12 3.21861288e-11 1.89484983e-10 ... 2.80091483e-09
  2.60912403e-09 4.59302737e-06]]",0.075545184,0.004069192,3563.676290885491,4883987.809094479,0.10278037086716937,0.10278037086716937,10.0,151.99908088235293
14,"Charlie Puth, BTS, Jung Kook",01 Left and Right (Feat. Jung Kook of BTS).wav,"[[0.0000000e+00 4.0452419e-10 7.6411645e-08 ... 3.2542906e+00
  5.2166519e+00 1.1321154e+01]
 [0.0000000e+00 1.3981005e-10 4.6495182e-07 ... 1.0290203e+02
  9.2698257e+01 7.9297862e+00]
 [0.0000000e+00 6.7591641e-11 1.2020080e-06 ... 6.5672600e+01
  6.7177338e+01 7.8640776e+00]
 ...
 [0.0000000e+00 9.4454639e-11 1.7645354e-09 ... 3.3497061e-09
  2.3350417e-09 1.4325976e-08]
 [0.0000000e+00 8.9500379e-11 1.4999122e-09 ... 2.8970302e-09
  3.3616128e-09 1.3208021e-08]
 [0.0000000e+00 9.2876977e-11 1.0465889e-09 ... 3.0679641e-09
  2.9119338e-09 1.1414218e-08]]",0.13423367,0.007071113,2731.4641195617455,2327194.9200499845,0.05173062282482599,0.05173062282482599,10.0,101.33272058823529
15,"Dhibu Ninan Thomas, Kapil Kapilan",01 Adiye - From _Bachelor.wav,"[[0.0000000e+00 0.0000000e+00 1.6041678e-10 ... 1.9913688e-07
  8.8813664e-08 8.6552298e-08]
 [0.0000000e+00 0.0000000e+00 5.4570268e-11 ... 2.9739860e-07
  5.5542465e-08 1.4810226e-07]
 [0.0000000e+00 0.0000000e+00 1.1861453e-11 ... 6.9202628e-08
  5.8064607e-08 1.3927217e-07]
 ...
 [0.0000000e+00 0.0000000e+00 2.1911351e-11 ... 2.4580464e-09
  2.6052724e-09 3.0540583e-09]
 [0.0000000e+00 0.0000000e+00 2.1956902e-11 ... 3.7665733e-09
  3.5313099e-09 2.4778495e-09]
 [0.0000000e+00 0.0000000e+00 3.1284576e-11 ... 3.4022714e-09
  2.9492215e-09 2.8333864e-09]]",0.03232805,0.0018825898,4771.604467375195,16120386.05444566,0.14780080843967516,0.14780080843967516,10.0,120.18531976744185
16,Dikshant,01 Aankhon Se Batana.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6412095e-02
  1.1107641e-02 1.9857999e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.6437796e-02
  2.5416534e-02 4.1696690e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.3838406e-02
  1.3261082e-02 2.0100737e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7479936e-09
  3.3453418e-09 2.5707396e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4162767e-09
  3.5154557e-09 3.0669685e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0086677e-09
  3.9084962e-09 3.2028562e-09]]",0.03136411,0.00074805145,1884.9836151489462,1311053.6804153328,0.03569664479408353,0.03569664479408353,10.0,123.046875
